azione_scelta;papertrail_id_corretto;wiki_file;wiki_titolo;kB;link_in_uscita;azione_proposta;papertrail_id;papertrail_titolo;confidenza;altri_candidati
;;!against-autonomy-beneficence-conflict.md;Against the Autonomy–Beneficence Conflict (WIP);18;1;link;31;Against the A/B conflict;0.63;31:Autonomy versus Beneficence: On a Persis | 61:Against expedite submissions journals
;;!ai-coding-turing-test.md;"AI Coding Turing Test — replica empirica al ""We Reject GenAI for Reflexive Qualitative Research""";7;14;review;35;Evaluating Assisted Suicide in Switzerland: A Forensic Psychiatric Model and Neuroethical Approach;0.32;116:Social listening in infodemic management | 56:AI bias comparison Israel Palestine narr
;;!ai-overview-hallucinations.md;AI Overview Hallucinations;10;3;review;13;Google AI overviews complacency;0.47;109:AI disinformation ethics | 21:OA value extraction precis
;;!beyond-misconduct.md;Beyond Misconduct;8;8;link;10;Beyond misconduct;1.00;30:ERC game concept | 81:AI self-confidence
;;!epistemic-paternalism-trap.md;Misinformation, Disinformation, and Autonomy: Against the Epistemic Paternalism Trap (WIP);10;8;review;80;Marie Meissner: Disinformation/intent to treat / Ozempic;0.42;48:The structural fingerprints of disinform | 117:Disinformation Recognition Software (Fak
;;!fragility-moral-key-terms.md;The Fragility of Moral Key Terms;5;7;review;94;Extend thomas’ study on moral distress to other countries;0.41;48:The structural fingerprints of disinform | 22:The Making of Digital Ghosts: Designing 
;;!gender-neutral-bathrooms.md;Gender-Neutral Bathrooms and Queue Efficiency;6;0;review;108;Open science and disruptive technologies;0.36;135:Religion in the context of cancel cultur | 29:deadbots - aspetti etici
;;!modello-collasso-epistemico-letteratura.md;Modello del Collasso Epistemico — Rassegna della letteratura;26;0;review;92;AI model GPT-3 (dis)informs us better than humans;0.36;92:AI model GPT-3 (dis)informs us better th | 6:Epistemic paternalism
;;!modello-collasso-epistemico.md;Modello del Collasso Epistemico;15;0;review;26;Trump Tylenol epistemology;0.41;29:deadbots - aspetti etici | 103:AI assisted suicide
;;!opt-out-scoping-review.md;Opt-in → Opt-out Scoping Review (BAG);13;10;review;106;Ethical Considerations in Infodemic Management: A Systematic Scoping Review;0.42;47:Biopolitics conspiracy religion Kiarash | 66:Frames of ethics: a systematic scoping r
;;!pgt-gge-person-affecting.md;PGT/GGE — Survey su intuizioni person-affecting;12;3;review;109;The Dual Nature of AI in Information Dissemination: Ethical Considerations;0.37;7:field complacency (su intera conversazio | 21:OA value extraction precis
;;!thick-bioethics.md;Thick Bioethics;8;14;link;43;Thick Bioethics;1.00;2:Where does bioethics live | 123:Reinvent publication system in bioethics
;;ai-assisted-suicide.md;Exploring the role of AI in classifying, analyzing, and generating case reports on assisted suicide (2023);1;1;link;103;Exploring the role of AI in classifying, analyzing, and generating case reports on assisted suicide cases: feasibility and ethical implications;0.73;135:Religion in the context of cancel cultur | 124:Beyond Trade-offs: Autonomy, Effectivene
;;ai-information-ethics-volume.md;AI and Infodemic Management — volume curato (Germani & Spitale, eds.);7;10;review;106;Ethical Considerations in Infodemic Management: A Systematic Scoping Review;0.48;52:Why ethics in social listening and infod | 106:WHO Scoping review ethics of infodemic m
;;digital-ghosts.md;The Making of Digital Ghosts: Designing Ethical AI Afterlives;4;4;link;22;The Making of Digital Ghosts: Designing Ethical AI Afterlives;1.00;109:The Dual Nature of AI in Information Dis | 105:Ethical and legal considerations of digi
;;disruptive-technologies-open-science.md;Disruptive Technologies and Open Science: How Open Should Open Science Be? A 'Third Bioethics' Ethics (2024);1;4;link;108;Disruptive Technologies and Open Science: How Open Should Open Science Be? A ‘Third Bioethics’ Ethical Framework;0.83;108:Open science and disruptive technologies | 131:Trust and culture differences about cens
;;dono-nelle-donazioni.md;Il dono nelle donazioni. Una prospettiva bioetica;9;11;review;59;Prepidemiology perspective;0.36;14:The Phenomenon of ‘Value Extraction’ in  | 2:Where does bioethics live
;;ethos.md;ETHOS — Evidence for Trust, Health, and Open Systems;7;1;review;78;S.A.R.A.H. and the decline of trust in health information: a case study;0.46;73:method like dlphi for making premises an | 90:Patient narratives – a still undervalued
;;fakespotter.md;FakeSpotter: A content and strategy agnostic Viral Misinformation Detection Tool;8;4;review;19;Fake spotter antigens virality;0.43;125:Voice cloning and disinformation (using  | 135:Religion in the context of cancel cultur
;;future-bioethics-publishing.md;The Future of Bioethics Publishing;4;6;link;123;The Future of Bioethics Publishing: Principles, Platforms, and Practices;0.59;2:Where does bioethics live | 43:Thick Bioethics
